time,gps.x,gps.y,gps.dx,gps.dy,imu.dx,imu.dy,imu.dz,imu.ddx,imu.ddy,imu.ddz,imu.q,imu.p,imu.r,imu.roll,imu.pitch,imu.yaw
1.382505, NaN,NaN,NaN,NaN,0.000408,0,0.002853,0.003906,0,0.027344,0.001953,0.001953,0.003906,-81.84346,-3.110851,20.646046
1.532946, NaN,NaN,NaN,NaN,0.000452,0,0.003164,0.003906,0,0.027344,-0.001953,0.003906,-0.001953,-81.84346,-3.110851,20.646046
1.668811, NaN,NaN,NaN,NaN,0.000492,0,0.003444,0.003906,0,0.027344,0.001953,-0.015625,0.003906,-81.84346,-3.110851,20.646046
1.838477, NaN,NaN,NaN,NaN,0.000542,0,0.003794,0.003906,0,0.027344,0.001953,-0.015625,0.003906,-81.831993,-3.102893,20.646305
1.995543,5.697723,0,1.409578,0,0.000588,0,0.004118,0.003906,0,0.027344,-0.001953,-0.007812,-0.003906,-81.831993,-3.102893,20.646305
2.19371, NaN,NaN,NaN,NaN,0.000647,0,0.004527,0.003906,0,0.027344,-0.001953,-0.007812,-0.003906,-81.832382,-3.103537,20.656023
2.392539, NaN,NaN,NaN,NaN,0.000705,0,0.004937,0.003906,0,0.027344,0.001953,0,0.003906,-81.832382,-3.103537,20.656023
2.533705, NaN,NaN,NaN,NaN,0.000747,0,0.005229,0.003906,0,0.027344,0,0.003906,0,-81.832382,-3.103537,20.656023
2.702708, NaN,NaN,NaN,NaN,0.000797,0,0.005578,0.003906,0,0.027344,0,0.003906,0,-81.830635,-3.093831,20.65667
2.838574, NaN,NaN,NaN,NaN,0.000837,0,0.005858,0.003906,0,0.027344,0,0.005859,0,-81.830635,-3.093831,20.65667
3.043366,-5.812543,1.872801,-1.126208,0.362864,0.000897,0,0.006281,0.003906,0,0.027344,-0.001953,-0.001953,-0.003906,-81.830635,-3.093831,20.65667
3.183207, NaN,NaN,NaN,NaN,0.000938,0,0.006569,0.003906,0,0.027344,0,-0.001953,0,-81.830635,-3.093831,20.65667
3.356848, NaN,NaN,NaN,NaN,0.00099,0,0.006927,0.003906,0,0.027344,0,-0.001953,0,-81.822891,-3.078985,20.641991
3.505963, NaN,NaN,NaN,NaN,0.001034,0,0.007235,0.003906,0,0.027344,0.001953,0.005859,0.001953,-81.822891,-3.078985,20.641991
3.69418, NaN,NaN,NaN,NaN,0.001089,0,0.007624,0.003906,0,0.027344,0,0.005859,-0.001953,-81.822891,-3.078985,20.641991
3.829383, NaN,NaN,NaN,NaN,0.001129,0,0.007903,0.003906,0,0.027344,0.001953,-0.001953,0,-81.822891,-3.078985,20.641991
4.036162, NaN,NaN,NaN,NaN,0.00119,0,0.008329,0.003906,0,0.027344,0.001953,-0.001953,0,-81.817314,-3.079406,20.632952
4.18594,-4.511346,4.383297,-0.582966,0.566419,0.001234,0,0.008638,0.003906,0,0.027344,0,0,-0.001953,-81.817314,-3.079406,20.632952
4.350969, NaN,NaN,NaN,NaN,0.001283,0,0.008979,0.003906,0,0.027344,0,0,-0.001953,-81.82251,-3.078339,20.632271
4.535872, NaN,NaN,NaN,NaN,0.001337,0,0.009361,0.003906,0,0.027344,0,0.003906,-0.001953,-81.82251,-3.078339,20.632271
4.684988, NaN,NaN,NaN,NaN,0.001381,0,0.009668,0.003906,0,0.027344,-0.001953,0.003906,0,-81.82251,-3.078339,20.632271
4.872542, NaN,NaN,NaN,NaN,0.001436,0,0.010055,0.003906,0,0.027344,0,-0.007812,0,-81.82251,-3.078339,20.632271
5.013045, NaN,NaN,NaN,NaN,0.001478,0,0.010345,0.003906,0,0.027344,0,-0.005859,0,-81.82251,-3.078339,20.632271
5.183373,1.417648,-5.187948,0.112552,-0.411888,0.001528,0,0.010697,0.003906,0,0.027344,0,-0.005859,0,-81.797882,-3.082901,20.632174
5.327189, NaN,NaN,NaN,NaN,0.001571,0,0.010994,0.003906,0,0.027344,0.001953,-0.001953,0,-81.797882,-3.082901,20.632174
5.520705, NaN,NaN,NaN,NaN,0.001628,0,0.011393,0.003906,0,0.027344,0,0.001953,0.003906,-81.797882,-3.082901,20.632174
5.669821, NaN,NaN,NaN,NaN,0.001672,0,0.011701,0.003906,0,0.027344,0.001953,0.005859,-0.001953,-81.797882,-3.082901,20.632174
5.825561, NaN,NaN,NaN,NaN,0.001717,0,0.012022,0.003906,0,0.027344,0.001953,0.005859,-0.001953,-81.791328,-3.074911,20.643227
5.967389, NaN,NaN,NaN,NaN,0.001759,0,0.012315,0.003906,0,0.027344,0,0,-0.001953,-81.791328,-3.074911,20.643227
6.172181,-1.766391,-5.271462,-0.125857,-0.375597,0.00182,0,0.012737,0.003906,0,0.027344,-0.001953,-0.003906,-0.001953,-81.791328,-3.074911,20.643227
6.321297, NaN,NaN,NaN,NaN,0.001864,0,0.013045,0.003906,0,0.027344,0,0.003906,0,-81.791328,-3.074911,20.643227
6.515475, NaN,NaN,NaN,NaN,0.001921,0,0.013446,0.003906,0,0.027344,0,0.003906,0,-81.807701,-3.077919,20.657192
6.71828, NaN,NaN,NaN,NaN,0.001981,0,0.013864,0.003906,0,0.027344,0,0.001953,-0.001953,-81.807701,-3.077919,20.657192
6.858783, NaN,NaN,NaN,NaN,0.002022,0,0.014154,0.003906,0,0.027344,-0.001953,-0.003906,0,-81.807701,-3.077919,20.657192
7.028449, NaN,NaN,NaN,NaN,0.002072,0,0.014504,0.003906,0,0.027344,-0.001953,-0.003906,0,-81.808762,-3.083096,20.661722
7.171602,3.603182,3.228424,0.28736,0.257472,0.002114,0,0.0148,0.003906,0,0.027344,0,0.001953,0,-81.808762,-3.083096,20.661722
7.363131, NaN,NaN,NaN,NaN,0.002171,0,0.015195,0.003906,0,0.027344,-0.001953,0.001953,0,-81.808762,-3.083096,20.661722
7.502309, NaN,NaN,NaN,NaN,0.002212,0,0.015482,0.003906,0,0.027344,-0.001953,-0.003906,0,-81.808762,-3.083096,20.661722
7.663349, NaN,NaN,NaN,NaN,0.002259,0,0.015815,0.003906,0,0.027344,-0.001953,-0.003906,0,-81.829269,-3.084771,20.667036
7.81379, NaN,NaN,NaN,NaN,0.002304,0,0.016125,0.003906,0,0.027344,0,-0.001953,0,-81.829269,-3.084771,20.667036
8.007306, NaN,NaN,NaN,NaN,0.002361,0,0.016525,0.003906,0,0.027344,0.001953,0.001953,0,-81.829269,-3.084771,20.667036
8.165696,0.267815,4.651729,0.02336,0.405739,0.002407,0,0.016851,0.003906,0,0.027344,0,-0.001953,-0.001953,-81.829269,-3.084771,20.667036
8.359212, NaN,NaN,NaN,NaN,0.002464,0,0.017251,0.003906,0,0.027344,0,-0.001953,-0.001953,-81.813286,-3.082414,20.662792
8.51429, NaN,NaN,NaN,NaN,0.00251,0,0.017571,0.003906,0,0.027344,-0.001953,-0.001953,0,-81.813286,-3.082414,20.662792
8.668705, NaN,NaN,NaN,NaN,0.002556,0,0.017889,0.003906,0,0.027344,-0.001953,-0.001953,0,-81.797974,-3.079669,20.656799
8.861559, NaN,NaN,NaN,NaN,0.002612,0,0.018287,0.003906,0,0.027344,-0.001953,0.005859,-0.001953,-81.797974,-3.079669,20.656799
8.997424, NaN,NaN,NaN,NaN,0.002653,0,0.018568,0.003906,0,0.027344,-0.001953,-0.001953,0,-81.797974,-3.079669,20.656799
9.205528, NaN,NaN,NaN,NaN,0.002714,0,0.018997,0.003906,0,0.027344,0,0,0,-81.797974,-3.079669,20.656799
